Vendor ID | Vendor Name | AAD Vendor Lead Time | AAD Vendor Cutoff Time | AAD Vendor Override date | AAD Vendor Outage Start | AAD Vendor Outage End | Address Line 1 | Address Line 2 | City | State | Zip | ISO Code | Vendor Catalog Name | Model Type
1466159|LIBERTY I EXCHANGE|3|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|154 W. Bellevue Dr.||Pasadena|CA|91105|US||
1466205|CASIO AMERICA, INC.|4|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|5700 Mt. Pleasant Avenue||Dover|NJ|07801|US||
1466353|VLC DISTRIBUTION|3|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-05-30; 2022-07-04; 2022-09-05; 2022-11-24; 2022-12-30;|2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-05-31; 2022-07-05; 2022-09-06; 2022-11-25; 2022-12-31;|16255 Port Northwest Drive, Ste 150||Houston|TX|77041|US||
1468861|MG WORLDWIDE LLC|5|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|115 W. 45th Street, 9th Floor||New York|NY|10036|US||
1468891|LOUIS CREATIONS INC|8|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|10 W. 46th Street, Ste 1309||New York|NY|10036|US||
1469825|FIRST CANADIAN DIAMOND CUTTING|4|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-04-22; 2022-05-30; 2022-06-06; 2022-06-24; 2022-07-04; 2022-09-05; 2022-09-26; 2022-10-05; 2022-10-10; 2022-10-17; 2022-11-24; 2022-12-26; 2023-01-02;|2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-04-22; 2022-05-30; 2022-06-06; 2022-06-24; 2022-07-04; 2022-09-05; 2022-09-27; 2022-10-05; 2022-10-11; 2022-10-18; 2022-11-24; 2022-12-27; 2023-01-02;|4058 Jean Talon West||Montreal|QC|H4P 1V5|CA||
1469889|SUASHISH JEWELS CANADA, INC.|20|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|301 Moodie Dr., Ste 205||Ottawa|ON|K2H 9C4|CA||
1470055|COLOR JEWELS INC|6|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|36 W. 44th Street, Ste 900||New York|NY|10036|US||
1470128|JASANI DESIGNS USA INC|11|1:30 PM||2022-01-03; 2022-01-10; 2022-01-17; 2022-03-15; 2022-03-29;|2022-01-07; 2022-01-14; 2022-01-17; 2022-03-15; 2022-03-29;|28 W. 44th Street, Ste 1014||New York|NY|10036|US||
1470129|OMJ LTD|25|1:30 PM||2022-01-03; 2022-01-17; 2022-03-15; 2022-03-29;|2022-01-07; 2022-01-17; 2022-03-15; 2022-03-29;|2934 1/2 Beverly Glen Circle, Ste 310||Bel Air|CA|90077|US||
1470873|H K DESIGNS INC|10|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|535 5th Avenue, 18th Floor||New York|NY|10017|US||
1470876|BENCHMARK|4|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|1023 15th Street||Tuscaloosa|AL|35401|US||
1471334|PERSONALIZED GEMS INC|9|1:30 PM||2022-01-17; 2022-02-21; 2022-03-15; 2022-03-29;|2022-01-17; 2022-02-21; 2022-03-15; 2022-03-29;|49B Lesmill Road||Toronto|ON|M3B 2T8|CA||
1472155|KONSTANT JEWELS INC|10|1:30 PM||2022-01-17; 2022-03-15; 2022-03-18; 2022-03-29; 2022-04-02; 2022-08-11; 2022-08-15; 2022-08-19; 2022-08-31; 2022-09-17; 2022-10-05; 2022-10-24;|2022-01-17; 2022-03-15; 2022-03-18; 2022-03-29; 2022-04-02; 2022-08-11; 2022-08-15; 2022-08-19; 2022-08-31; 2022-09-17; 2022-10-05; 2022-10-26;|550 S. Hill Street, Ste 1340||Los Angeles|CA|90013|US||
1472401|GOLDIAM USA INC|15|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|22 W. 48th Street, Ste 702||New York|NY|10036|US||
1472693|SHAH DIAMONDS|7|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|22W 48th Street, Ste 600||New York|NY|10036|US||
1472696|THE DESIGN HOUSE|15|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|140 Tamarack Dr.||East Greenwich|RI|02818|US||
